Seconds: 0.23 | IMU1 : EMG = 355 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.93 | GyY = 0.90 | GyZ = -1.56;
Seconds: 6.76 | IMU1 : EMG = 331 | AcX = -0.56 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.09 | GyX = 1.10 | GyY = 0.81 | GyZ = -0.72;
Seconds: 6.99 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.17 | GyX = 1.01 | GyY = 0.93 | GyZ = -0.92;
Seconds: 7.22 | IMU1 : EMG = 334 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.00 | GyX = 0.82 | GyY = 0.92 | GyZ = -1.37;
Seconds: 7.46 | IMU1 : EMG = 342 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.95 | GyY = 0.98 | GyZ = -1.18;
Seconds: 7.69 | IMU1 : EMG = 343 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.85 | GyY = 1.18 | GyZ = -0.85;
Seconds: 7.92 | IMU1 : EMG = 338 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.00 | GyX = 0.98 | GyY = 0.89 | GyZ = -0.95;
Seconds: 8.15 | IMU1 : EMG = 341 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.92 | GyY = 1.18 | GyZ = -1.04;
Seconds: 8.39 | IMU1 : EMG = 334 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.09 | GyX = 0.81 | GyY = 0.73 | GyZ = -1.13;
Seconds: 8.62 | IMU1 : EMG = 339 | AcX = -0.56 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.09 | GyX = 0.96 | GyY = 0.89 | GyZ = -1.13;
Seconds: 8.85 | IMU1 : EMG = 339 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.26 | GyX = 0.84 | GyY = 1.02 | GyZ = -1.40;
Seconds: 9.09 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.09 | GyX = 0.87 | GyY = 0.93 | GyZ = -1.15;
Seconds: 9.32 | IMU1 : EMG = 337 | AcX = -0.56 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.26 | GyX = 0.85 | GyY = 0.99 | GyZ = -0.73;
Seconds: 9.55 | IMU1 : EMG = 338 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.82 | GyY = 0.98 | GyZ = -1.31;
Seconds: 9.79 | IMU1 : EMG = 340 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.34 | GyX = 0.81 | GyY = 1.01 | GyZ = -1.45;
Seconds: 10.02 | IMU1 : EMG = 340 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.17 | GyX = 1.04 | GyY = 1.04 | GyZ = -1.15;
Seconds: 10.25 | IMU1 : EMG = 343 | AcX = -0.56 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.85 | GyY = 0.95 | GyZ = -1.08;
Seconds: 10.49 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.89 | GyY = 1.11 | GyZ = -1.33;
Seconds: 10.72 | IMU1 : EMG = 336 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.09 | GyX = 0.96 | GyY = 1.07 | GyZ = -1.33;
Seconds: 10.95 | IMU1 : EMG = 344 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.70 | GyY = 0.99 | GyZ = -1.73;
Seconds: 11.18 | IMU1 : EMG = 334 | AcX = -0.56 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.96 | GyY = 1.07 | GyZ = -1.42;
Seconds: 11.42 | IMU1 : EMG = 343 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.92 | GyY = 1.13 | GyZ = -1.05;
Seconds: 11.65 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.09 | GyX = 1.02 | GyY = 0.70 | GyZ = -1.15;
Seconds: 11.88 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.26 | GyX = 0.99 | GyY = 0.87 | GyZ = -1.37;
Seconds: 12.12 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.34 | GyX = 1.01 | GyY = 0.75 | GyZ = -1.68;
Seconds: 12.35 | IMU1 : EMG = 336 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.96 | GyY = 0.78 | GyZ = -1.34;
Seconds: 12.58 | IMU1 : EMG = 340 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.79 | GyY = 0.87 | GyZ = -1.36;
Seconds: 12.82 | IMU1 : EMG = 334 | AcX = -0.56 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.96 | GyY = 1.08 | GyZ = -1.27;
Seconds: 13.05 | IMU1 : EMG = 341 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.09 | GyX = 0.90 | GyY = 0.79 | GyZ = -1.16;
Seconds: 13.28 | IMU1 : EMG = 334 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.09 | GyX = 0.90 | GyY = 0.85 | GyZ = -1.05;
Seconds: 13.51 | IMU1 : EMG = 342 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.84 | GyY = 0.73 | GyZ = -1.53;
Seconds: 13.75 | IMU1 : EMG = 341 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.84 | GyY = 1.18 | GyZ = -1.18;
Seconds: 13.98 | IMU1 : EMG = 340 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.89 | GyY = 0.93 | GyZ = -1.36;
Seconds: 14.21 | IMU1 : EMG = 341 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.26 | GyX = 0.93 | GyY = 0.73 | GyZ = -1.27;
Seconds: 14.45 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.09 | GyX = 0.84 | GyY = 1.07 | GyZ = -1.37;
Seconds: 14.68 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.75 | GyY = 0.95 | GyZ = -0.96;
Seconds: 14.91 | IMU1 : EMG = 339 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.34 | GyX = 1.02 | GyY = 1.08 | GyZ = -1.48;
Seconds: 15.15 | IMU1 : EMG = 339 | AcX = -0.56 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.26 | GyX = 1.18 | GyY = 0.99 | GyZ = -1.25;
Seconds: 15.38 | IMU1 : EMG = 338 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.09 | GyX = 1.04 | GyY = 1.10 | GyZ = -1.48;
Seconds: 15.61 | IMU1 : EMG = 342 | AcX = -0.56 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.34 | GyX = 0.92 | GyY = 0.79 | GyZ = -1.24;
Seconds: 15.84 | IMU1 : EMG = 287 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.79 | GyY = 1.01 | GyZ = -1.56;
Seconds: 16.08 | IMU1 : EMG = 333 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.09 | GyX = 0.90 | GyY = 0.98 | GyZ = -1.13;
Seconds: 16.31 | IMU1 : EMG = 336 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.70 | GyY = 1.02 | GyZ = -1.15;
Seconds: 16.54 | IMU1 : EMG = 342 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.99 | GyY = 0.92 | GyZ = -1.01;
Seconds: 16.78 | IMU1 : EMG = 286 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.26 | GyX = 0.99 | GyY = 0.73 | GyZ = -1.13;
Seconds: 17.01 | IMU1 : EMG = 342 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.34 | GyX = 0.81 | GyY = 1.04 | GyZ = -1.04;
Seconds: 17.24 | IMU1 : EMG = 342 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.34 | GyX = 0.93 | GyY = 0.73 | GyZ = -1.19;
Seconds: 17.48 | IMU1 : EMG = 288 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.09 | GyX = 0.98 | GyY = 1.08 | GyZ = -1.45;
Seconds: 17.71 | IMU1 : EMG = 340 | AcX = -0.56 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.26 | GyX = 1.13 | GyY = 0.79 | GyZ = -1.25;
Seconds: 17.94 | IMU1 : EMG = 343 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.98 | GyY = 0.46 | GyZ = -1.65;
Seconds: 18.17 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.85 | GyY = 0.73 | GyZ = -1.13;
Seconds: 18.41 | IMU1 : EMG = 336 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.26 | GyX = 0.79 | GyY = 0.99 | GyZ = -1.24;
Seconds: 18.64 | IMU1 : EMG = 343 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.98 | GyY = 0.82 | GyZ = -1.51;
Seconds: 18.87 | IMU1 : EMG = 338 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.17 | GyX = 1.04 | GyY = 0.63 | GyZ = -1.28;
Seconds: 19.11 | IMU1 : EMG = 342 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.26 | GyX = 1.05 | GyY = 0.79 | GyZ = -1.42;
Seconds: 19.34 | IMU1 : EMG = 341 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.26 | GyX = 0.87 | GyY = 0.98 | GyZ = -1.68;
Seconds: 19.57 | IMU1 : EMG = 338 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 1.01 | GyY = 1.15 | GyZ = -1.07;
Seconds: 19.81 | IMU1 : EMG = 332 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.26 | GyX = 1.01 | GyY = 1.01 | GyZ = -1.02;
Seconds: 20.04 | IMU1 : EMG = 341 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.26 | GyX = 0.98 | GyY = 0.85 | GyZ = -1.10;
Seconds: 20.27 | IMU1 : EMG = 336 | AcX = -0.56 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.87 | GyY = 0.90 | GyZ = -1.21;
Seconds: 20.5 | IMU1 : EMG = 343 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.51 | GyX = 1.04 | GyY = 0.82 | GyZ = -1.36;
Seconds: 20.74 | IMU1 : EMG = 338 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.26 | GyX = 0.93 | GyY = 1.08 | GyZ = -1.57;
Seconds: 20.97 | IMU1 : EMG = 342 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.34 | GyX = 0.84 | GyY = 0.96 | GyZ = -1.05;
Seconds: 21.2 | IMU1 : EMG = 333 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.69 | GyY = 1.07 | GyZ = -0.96;
Seconds: 21.44 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.99 | GyY = 0.61 | GyZ = -1.04;
Seconds: 21.67 | IMU1 : EMG = 339 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.34 | GyX = 0.92 | GyY = 1.11 | GyZ = -1.16;
Seconds: 21.9 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.26 | GyX = 0.85 | GyY = 0.89 | GyZ = -1.05;
Seconds: 22.14 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.82 | GyY = 0.96 | GyZ = -1.30;
Seconds: 22.37 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.78 | GyY = 0.99 | GyZ = -1.13;
Seconds: 22.6 | IMU1 : EMG = 335 | AcX = -0.54 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.26 | GyX = 0.92 | GyY = 0.82 | GyZ = -1.50;
Seconds: 22.83 | IMU1 : EMG = 337 | AcX = -0.56 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.26 | GyX = 0.96 | GyY = 1.04 | GyZ = -1.31;
Seconds: 23.07 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.34 | GyX = 1.01 | GyY = 0.92 | GyZ = -1.65;
Seconds: 23.3 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.81 | GyY = 0.98 | GyZ = -1.21;
Seconds: 23.53 | IMU1 : EMG = 338 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.84 | GyY = 0.70 | GyZ = -0.99;
Seconds: 23.77 | IMU1 : EMG = 343 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.26 | GyX = 0.85 | GyY = 0.79 | GyZ = -1.24;
Seconds: 24.0 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.42 | GyX = 0.95 | GyY = 1.04 | GyZ = -1.47;
Seconds: 24.23 | IMU1 : EMG = 334 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.26 | GyX = 0.84 | GyY = 1.05 | GyZ = -1.15;
Seconds: 24.47 | IMU1 : EMG = 343 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.93 | GyY = 0.99 | GyZ = -1.36;
Seconds: 24.7 | IMU1 : EMG = 338 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.89 | GyY = 1.08 | GyZ = -1.53;
Seconds: 24.93 | IMU1 : EMG = 332 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.26 | GyX = 0.92 | GyY = 0.87 | GyZ = -1.01;
Seconds: 25.16 | IMU1 : EMG = 333 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.34 | GyX = 1.02 | GyY = 0.85 | GyZ = -1.65;
Seconds: 25.4 | IMU1 : EMG = 341 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.51 | GyX = 0.78 | GyY = 1.16 | GyZ = -1.31;
Seconds: 25.63 | IMU1 : EMG = 335 | AcX = -0.56 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.34 | GyX = 0.95 | GyY = 1.02 | GyZ = -1.40;
Seconds: 25.86 | IMU1 : EMG = 340 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.34 | GyX = 0.79 | GyY = 1.07 | GyZ = -1.02;
Seconds: 26.1 | IMU1 : EMG = 343 | AcX = -0.56 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.96 | GyY = 0.89 | GyZ = -0.76;
Seconds: 26.33 | IMU1 : EMG = 339 | AcX = -0.54 | AcY = -0.82 | AcZ = 0.09 | Tmp = 77.42 | GyX = 0.95 | GyY = 0.26 | GyZ = -1.08;
Seconds: 26.56 | IMU1 : EMG = 340 | AcX = -0.53 | AcY = -0.82 | AcZ = 0.05 | Tmp = 77.34 | GyX = 0.02 | GyY = -0.95 | GyZ = -1.34;
Seconds: 26.8 | IMU1 : EMG = 344 | AcX = -0.52 | AcY = -0.91 | AcZ = -0.01 | Tmp = 77.34 | GyX = -125.69 | GyY = 29.60 | GyZ = -9.91;
Seconds: 27.03 | IMU1 : EMG = 342 | AcX = -0.75 | AcY = -0.87 | AcZ = -0.61 | Tmp = 77.34 | GyX = -142.34 | GyY = 39.94 | GyZ = -27.18;
Seconds: 27.26 | IMU1 : EMG = 340 | AcX = -0.41 | AcY = -0.47 | AcZ = -0.97 | Tmp = 77.26 | GyX = -54.12 | GyY = 44.38 | GyZ = -3.82;
Seconds: 27.49 | IMU1 : EMG = 341 | AcX = -0.19 | AcY = -0.28 | AcZ = -0.97 | Tmp = 77.42 | GyX = -10.21 | GyY = 7.62 | GyZ = 4.66;
Seconds: 27.73 | IMU1 : EMG = 335 | AcX = -0.12 | AcY = -0.17 | AcZ = -0.95 | Tmp = 77.34 | GyX = -14.70 | GyY = 10.93 | GyZ = -0.70;
Seconds: 27.96 | IMU1 : EMG = 340 | AcX = -0.14 | AcY = -0.18 | AcZ = -0.92 | Tmp = 77.34 | GyX = 1.13 | GyY = -0.47 | GyZ = 0.38;
Seconds: 28.19 | IMU1 : EMG = 343 | AcX = -0.07 | AcY = -0.12 | AcZ = -0.99 | Tmp = 77.26 | GyX = -2.31 | GyY = 2.55 | GyZ = -1.79;
Seconds: 28.43 | IMU1 : EMG = 336 | AcX = -0.08 | AcY = -0.11 | AcZ = -0.97 | Tmp = 77.26 | GyX = 1.45 | GyY = 0.66 | GyZ = -1.33;
Seconds: 28.66 | IMU1 : EMG = 344 | AcX = -0.09 | AcY = -0.10 | AcZ = -0.99 | Tmp = 77.34 | GyX = -1.60 | GyY = 2.73 | GyZ = -1.89;
Seconds: 28.89 | IMU1 : EMG = 341 | AcX = -0.11 | AcY = -0.14 | AcZ = -0.95 | Tmp = 77.34 | GyX = -2.40 | GyY = 2.79 | GyZ = -1.10;
Seconds: 29.13 | IMU1 : EMG = 338 | AcX = -0.09 | AcY = -0.11 | AcZ = -0.98 | Tmp = 77.26 | GyX = 2.58 | GyY = -0.27 | GyZ = -0.44;
Seconds: 29.36 | IMU1 : EMG = 341 | AcX = -0.08 | AcY = -0.11 | AcZ = -0.98 | Tmp = 77.42 | GyX = 1.13 | GyY = 0.89 | GyZ = -0.73;
Seconds: 29.59 | IMU1 : EMG = 338 | AcX = -0.08 | AcY = -0.09 | AcZ = -1.00 | Tmp = 77.34 | GyX = -6.85 | GyY = 6.18 | GyZ = -2.53;
Seconds: 29.82 | IMU1 : EMG = 343 | AcX = -0.09 | AcY = -0.10 | AcZ = -0.98 | Tmp = 77.26 | GyX = 2.61 | GyY = -0.46 | GyZ = -1.15;
Seconds: 30.06 | IMU1 : EMG = 335 | AcX = -0.10 | AcY = -0.09 | AcZ = -0.95 | Tmp = 77.34 | GyX = 0.64 | GyY = 0.84 | GyZ = -1.37;
Seconds: 30.29 | IMU1 : EMG = 340 | AcX = -0.10 | AcY = -0.11 | AcZ = -0.98 | Tmp = 77.34 | GyX = 5.74 | GyY = -2.29 | GyZ = -0.93;
Seconds: 30.52 | IMU1 : EMG = 334 | AcX = -0.08 | AcY = -0.11 | AcZ = -0.97 | Tmp = 77.42 | GyX = 5.16 | GyY = -1.45 | GyZ = -1.40;
Seconds: 30.76 | IMU1 : EMG = 342 | AcX = -0.07 | AcY = -0.11 | AcZ = -0.98 | Tmp = 77.34 | GyX = 14.53 | GyY = -6.53 | GyZ = 1.83;
Seconds: 30.99 | IMU1 : EMG = 333 | AcX = -0.19 | AcY = -0.30 | AcZ = -0.99 | Tmp = 77.26 | GyX = 65.30 | GyY = -31.91 | GyZ = 25.19;
Seconds: 31.22 | IMU1 : EMG = 339 | AcX = -0.36 | AcY = -0.53 | AcZ = -0.76 | Tmp = 77.34 | GyX = 119.22 | GyY = -50.14 | GyZ = 31.05;
Seconds: 31.46 | IMU1 : EMG = 339 | AcX = -0.51 | AcY = -0.75 | AcZ = -0.40 | Tmp = 77.34 | GyX = 72.18 | GyY = -22.47 | GyZ = 14.31;
Seconds: 31.69 | IMU1 : EMG = 337 | AcX = -0.53 | AcY = -0.78 | AcZ = -0.50 | Tmp = 77.42 | GyX = 54.56 | GyY = -50.17 | GyZ = -4.69;
Seconds: 31.92 | IMU1 : EMG = 337 | AcX = -0.56 | AcY = -0.79 | AcZ = 0.01 | Tmp = 77.17 | GyX = 23.56 | GyY = -14.61 | GyZ = -0.38;
Seconds: 32.15 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.81 | AcZ = 0.18 | Tmp = 77.17 | GyX = 9.76 | GyY = -6.66 | GyZ = -3.02;
Seconds: 32.39 | IMU1 : EMG = 335 | AcX = -0.57 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.26 | GyX = 0.76 | GyY = 0.81 | GyZ = -0.14;
Seconds: 32.62 | IMU1 : EMG = 341 | AcX = -0.57 | AcY = -0.81 | AcZ = 0.08 | Tmp = 77.51 | GyX = 1.76 | GyY = 0.44 | GyZ = -1.15;
Seconds: 32.85 | IMU1 : EMG = 335 | AcX = -0.57 | AcY = -0.81 | AcZ = 0.11 | Tmp = 77.17 | GyX = 4.17 | GyY = -2.53 | GyZ = -2.63;
